id,name,acceptance_rate,min_ielts,min_gpa,min_sat,application_deadline,enrollment_size,international_students_percent
university-of-economics-and-human-sciences-in-warsaw,"University of Economics and Human Sciences in Warsaw",60.00,6.0,2.70,,"September 15",3500,15.00
korea-university,"Korea University",5.20,6.0,3.00,1300,"November 30",21000,12.50
university-of-oklahoma,"University of Oklahoma",72.80,6.5,3.00,1090,"February 1",23000,9.00
university-of-utah,"University of Utah",,,,,,,
curtin-university-singapore,"Curtin University Singapore",,,,,,,
milan-university,"Milan University",60.00,6.0,2.50,,"April 30",43000,8.00
vilnius-university,"Vilnius University",,,,,,,
toronto-metropolitan-university,"Toronto Metropolitan University",,,,,,,
university-of-brescia,"University of Brescia",,,,,,,
university-of-illinois-chicago,"University of Illinois Chicago",,,,,,,
edith-cowan-university-australia,"Edith Cowan University Australia",,,,,,,
queens-college-global-student-success-program,"Queens College Global Student Success Program",,,,,,,
university-of-padova,"University of Padova",,,,,,,
tianjin-university,"Tianjin University",,,,,,,
university-of-oregon,"University of Oregon",,,,,,,
georgetown-university-in-qatar,"Georgetown University in Qatar",14.00,7.0,3.50,1350,"January 15",650,90.00
lazarski-university,"Lazarski University",60.00,6.0,2.70,,Rolling,4000,30.00
nbs-neuroscience-business-school,"NBS | Neuroscience Business School",60.00,6.0,2.70,,Rolling,250,70.00
chinese-university-of-hong-kong,"Chinese University of Hong Kong",14.00,6.5,3.00,1250,"January 4",14000,20.00
university-of-szeged,"University of Szeged",60.00,6.0,3.00,,"May 31",12000,12.00
towson-university,"Towson University",78.00,6.0,3.00,1050,"February 1",18224,2.00
belmont-university,"Belmont University",83.00,6.5,3.00,1100,Rolling,6674,3.00
american-university-in-dubai,"American University in Dubai",55.00,6.0,2.50,1000,Rolling,2200,85.00
wilson-college,"Wilson College",81.00,6.0,2.50,,Rolling,900,5.00
university-of-essex,"University of Essex",67.00,6.0,3.00,,Rolling,12300,40.00
whittier-college,"Whittier College",73.00,6.0,3.00,1050,"February 15",1187,4.00
austin-college,"Austin College",54.00,6.5,3.00,1100,"March 1",1200,10.00
southern-university-of-science-and-technology,"Southern University of Science and Technology",3.00,6.0,3.00,1350,"May 31",4500,2.50
central-methodist-university,"Central Methodist University",73.00,6.0,2.50,,Rolling,1050,3.00
hanze-university-of-applied-sciences,"Hanze University of Applied Sciences",,,,,,,
carnegie-mellon-university-in-qatar,"Carnegie Mellon University in Qatar",,,,,,,
seoul-national-university,"Seoul National University",13.00,6.0,3.50,1300,"October 31",18000,12.00
the-university-of-texas-at-san-antonio,"The University of Texas at San Antonio",83.70,6.0,3.00,1020,"May 1",32236,3.00
university-of-liverpool,"University of Liverpool",14.30,6.5,3.00,1200,"January 31",22000,28.00
lycoming-college,"Lycoming College",,,,,,,
beijing-institute-of-technology,"Beijing Institute of Technology",,,,,,,
culinary-arts-academy-switzerland,"Culinary Arts Academy Switzerland",,,,,,,
university-of-pecs,"University of Pecs",,,,,,,
rit-rochester-institute-of-technology-dubai,"RIT | Rochester Institute of Technology | Dubai",,,,,,,
bethany-college,"Bethany College",,,,,,,
eastern-connecticut-state-university,"Eastern Connecticut State University",,,,,,,
colorado-state-university-pueblo,"Colorado State University Pueblo",,,,,,,
east-texas-am-university,"East Texas A&M University",,,,,,,
gettysburg-college,"Gettysburg College",,,,,,,
lafayette-college,"Lafayette College",,,,,,,
marymount-university,"Marymount University",,,,,,,
purdue-university-fort-wayne,"Purdue University Fort Wayne",78.00,6.0,2.00,,Rolling,5654,2.00
wroclaw-university,"Wroclaw University",70.00,6.0,3.00,,"July 15",18000,12.00
university-of-amsterdam,"University of Amsterdam",4.00,6.5,3.00,1200,"January 15",24000,25.00
yonsei-university,"Yonsei University",15.00,6.5,3.00,1200,"March 31",26000,12.00
berlin-university-of-the-arts,"Berlin University of the Arts",,,,,,,
juniata-college,"Juniata College",,,,,,,
murdoch-university,"Murdoch University",,,,,,,
drew-university,"Drew University",,,,,,,
university-of-canberra-college,"University of Canberra College",,,,,,,
george-mason-university,"George Mason University",,,,,,,
abilene-christian-university,"Abilene Christian University",58.00,6.5,3.40,1250,"Early February",3700,4.00
al-akhawayn-university-ifrane,"Al Akhawayn University in Ifrane",65.00,6.5,3.50,1280,"Late April",2000,15.00
adams-state-university,"Adams State University",99.00,6.5,3.40,1250,"Early March",1500,2.00
aberystwyth-university,"Aberystwyth University",90.70,6.5,3.40,1250,"Late January",6600,11.00
alaska-pacific-university,"Alaska Pacific University",85.00,6.5,3.40,1250,"Early February",350,2.00
albion-college,"Albion College",69.00,6.5,3.50,1250,"Early December",1540,6.00
american-university-greece-global-campus,"The American University of Greece Global Campus",,,,,,,
american-university-paris,"The American University of Paris",,,,,,,
angelo-state-university,"Angelo State University",,,,,,,
allegheny-college,"Allegheny College",64.00,6.5,3.50,1280,Mid-January,1300,10.00
amda-american-musical-and-dramatic-academy,"AMDA The American Musical and Dramatic Academy",29.00,6.0,2.50,1000,"Early January",1586,20.00
alvernia-university,"Alvernia University",94.00,6.5,3.40,1250,"Early March",2058,1.00
american-international-college,"American International College",,,,,,,
american-university-beirut-aub,"American University of Beirut (AUB)",,,,,,,
american-college-mediterranean-acm,"American College of the Mediterranean (ACM)",75.00,6.0,2.50,1100,Mid-May,180,25.00
american-university-bulgaria,"American University in Bulgaria",,,,,,,
appalachian-state-university,"Appalachian State University",,,,,,,
aquinas-college,"Aquinas College",,,,,,,
arcadia-university,"Arcadia University",,,,,,,
american-university-rome,"The American University of Rome",,,,,,,
anderson-university-sc,"Anderson University (SC)",,,,,,,
anderson-university,"Anderson University (IN)",,,,,,,
anglo-american-university-prague,"Anglo-American University in Prague",,,,,,,
anna-maria-college,"Anna Maria College",,,,,,,
antioch-college,"Antioch College",,,,,,,
bennington-college,"Bennington College",,,,,,,
arizona-christian-university,"Arizona Christian University",,,,,,,
arizona-state-university,"Arizona State University",,,,,,,
art-academy-cincinnati,"Art Academy of Cincinnati",,,,,,,
arts-university-bournemouth-uk,"Arts University Bournemouth, UK",,,,,,,
asbury-university,"Asbury University",,,,,,,
assumption-university,"Assumption University",,,,,,,
auburn-university,"Auburn University",,,,,,,
aurora-university,"Aurora University",,,,,,,
augsburg-university,"Augsburg University",,,,,,,
augusta-university,"Augusta University",,,,,,,
